                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1752,                 0.8432,                 1.1272,                0.71952,                0.69827,                0.75378,                0.45294,                 1.3545,                0.91471,                 1.2704,             0.00036934,             0.00036934,             0.00036934
                      2,                 1.2104,                0.86196,                 1.1377,                0.71677,                0.65617,                0.72012,                0.41822,                 1.3958,                0.99376,                 1.2974,             0.00071526,             0.00071526,             0.00071526
                      3,                 1.2293,                0.89614,                 1.1523,                0.69552,                0.62492,                0.68724,                0.38034,                 1.4406,                 1.0579,                 1.3238,              0.0010367,              0.0010367,              0.0010367
                      4,                  1.221,                0.89013,                 1.1546,                0.67226,                 0.5962,                0.64246,                0.38007,                 1.3958,                 1.1187,                 1.2942,               0.001001,               0.001001,               0.001001
                      5,                 1.2303,                0.89019,                 1.1532,                0.73166,                 0.6735,                0.72327,                0.41002,                 1.3867,                0.94895,                 1.2911,               0.001001,               0.001001,               0.001001
                      6,                 1.2316,                0.88378,                 1.1548,                0.71752,                 0.6992,                0.74132,                0.43285,                 1.4013,                0.94191,                  1.292,             0.00096435,             0.00096435,             0.00096435
                      7,                 1.2192,                0.87574,                 1.1514,                0.70857,                0.68269,                0.72592,                0.41161,                 1.4219,                0.98788,                 1.3096,             0.00092769,             0.00092769,             0.00092769
                      8,                 1.2047,                 0.8482,                  1.139,                0.71299,                0.68879,                0.72112,                0.41689,                 1.4501,                0.94471,                 1.3245,             0.00089102,             0.00089102,             0.00089102
                      9,                 1.1695,                0.82073,                  1.124,                0.65282,                0.66455,                0.69016,                 0.4143,                  1.359,                 1.0554,                 1.2696,             0.00085436,             0.00085436,             0.00085436
                     10,                 1.1632,                0.81736,                 1.1232,                0.76674,                0.71807,                0.77435,                0.45799,                 1.3374,                0.85375,                 1.2559,              0.0008177,              0.0008177,              0.0008177
                     11,                  1.156,                0.81607,                 1.1202,                0.78459,                0.71141,                 0.7734,                0.46392,                 1.3472,                0.87444,                 1.2638,             0.00078103,             0.00078103,             0.00078103
                     12,                 1.1449,                0.79044,                 1.1161,                0.74019,                0.69241,                0.75723,                0.41847,                 1.4472,                0.95475,                  1.323,             0.00074437,             0.00074437,             0.00074437
                     13,                 1.1296,                0.78019,                   1.11,                 0.7326,                0.70766,                0.75324,                0.44447,                 1.3385,                0.89648,                 1.2586,             0.00070771,             0.00070771,             0.00070771
                     14,                   1.14,                0.78448,                 1.1124,                0.76348,                 0.7205,                0.77255,                0.46767,                 1.3094,                0.84282,                 1.2411,             0.00067104,             0.00067104,             0.00067104
                     15,                 1.1105,                0.76443,                 1.1015,                 0.7672,                0.70116,                0.77728,                0.47208,                 1.2765,                0.82149,                 1.2239,             0.00063438,             0.00063438,             0.00063438
                     16,                 1.1059,                0.74553,                 1.0951,                0.78282,                0.70987,                0.77473,                0.45293,                 1.3378,                0.87007,                 1.2705,             0.00059772,             0.00059772,             0.00059772
                     17,                 1.0982,                0.74501,                 1.0966,                0.77376,                0.73271,                0.79347,                 0.4766,                 1.2787,                0.82363,                 1.2233,             0.00056105,             0.00056105,             0.00056105
                     18,                 1.0835,                0.72674,                 1.0896,                0.77103,                0.74982,                0.80142,                0.47429,                 1.3197,                0.83223,                 1.2478,             0.00052439,             0.00052439,             0.00052439
                     19,                   1.08,                0.72361,                 1.0851,                0.81538,                  0.737,                0.81581,                 0.4915,                 1.2859,                0.80077,                 1.2333,             0.00048773,             0.00048773,             0.00048773
                     20,                 1.0692,                0.70924,                   1.08,                0.81557,                0.73822,                0.81008,                0.49824,                 1.2465,                0.78878,                 1.2059,             0.00045107,             0.00045107,             0.00045107
                     21,                0.98709,                 0.6182,                 1.1117,                0.77929,                0.71796,                0.79379,                0.48757,                 1.2704,                0.82243,                 1.2206,              0.0004144,              0.0004144,              0.0004144
                     22,                0.97389,                0.59884,                 1.1012,                0.79222,                0.74281,                0.81545,                0.50775,                 1.2482,                0.77258,                 1.2095,             0.00037774,             0.00037774,             0.00037774
                     23,                0.95947,                0.58977,                 1.0966,                0.80673,                0.75201,                0.82836,                0.51988,                 1.2359,                0.74727,                 1.1998,             0.00034108,             0.00034108,             0.00034108
                     24,                0.94193,                0.57539,                 1.0838,                0.80025,                0.74154,                0.80547,                0.50649,                 1.2284,                0.78184,                 1.1964,             0.00030441,             0.00030441,             0.00030441
                     25,                0.93155,                0.56212,                  1.084,                0.78413,                0.74721,                0.81322,                0.51195,                  1.235,                0.76998,                 1.1975,             0.00026775,             0.00026775,             0.00026775
                     26,                0.91783,                0.55491,                 1.0684,                0.81903,                0.74829,                0.83297,                0.52005,                 1.2286,                0.74054,                 1.1962,             0.00023109,             0.00023109,             0.00023109
                     27,                0.90363,                 0.5429,                 1.0584,                0.79965,                0.76382,                0.83353,                0.53029,                  1.197,                0.72676,                 1.1806,             0.00019442,             0.00019442,             0.00019442
                     28,                0.89865,                0.53306,                  1.061,                0.81309,                0.73827,                0.82459,                0.51942,                 1.2164,                0.73771,                 1.1963,             0.00015776,             0.00015776,             0.00015776
                     29,                0.88305,                0.52493,                 1.0506,                0.80893,                0.75001,                0.82508,                0.52436,                 1.1992,                0.73562,                  1.185,              0.0001211,              0.0001211,              0.0001211
                     30,                0.87129,                0.51707,                 1.0448,                0.81286,                0.75366,                 0.8263,                0.52454,                 1.1984,                0.73545,                  1.188,             8.4436e-05,             8.4436e-05,             8.4436e-05
