                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7444,                 2.4966,                 1.4433,                0.49653,                0.54717,                 0.5382,                0.26477,                 1.5941,                 1.6924,                 1.4393,             0.00036934,             0.00036934,             0.00036934
                      2,                 1.5138,                 1.4931,                 1.2931,                0.57828,                0.50171,                0.55185,                0.27261,                 1.6463,                 1.5502,                 1.4559,             0.00069086,             0.00069086,             0.00069086
                      3,                 1.4481,                 1.2651,                 1.2632,                0.58496,                 0.5531,                0.57372,                0.28978,                 1.6664,                 1.3623,                 1.4946,             0.00096349,             0.00096349,             0.00096349
                      4,                 1.3947,                 1.1407,                  1.242,                0.62898,                0.58229,                0.62238,                0.34999,                 1.4599,                 1.1799,                 1.3354,             0.00089102,             0.00089102,             0.00089102
                      5,                 1.3796,                 1.0934,                 1.2285,                0.60362,                0.60587,                0.62223,                0.35033,                 1.4934,                  1.181,                 1.3552,             0.00089102,             0.00089102,             0.00089102
                      6,                 1.2901,                0.99237,                 1.2951,                0.60893,                0.57864,                0.59182,                0.30901,                 1.6246,                 1.2046,                  1.457,              0.0008177,              0.0008177,              0.0008177
                      7,                 1.2484,                 0.9193,                 1.2676,                0.64488,                0.61032,                0.65122,                0.36721,                 1.5007,                 1.1649,                 1.3728,             0.00074437,             0.00074437,             0.00074437
                      8,                 1.2022,                0.87006,                 1.2388,                0.67592,                0.63174,                0.68849,                0.39749,                 1.4164,                  1.104,                 1.3364,             0.00067104,             0.00067104,             0.00067104
                      9,                 1.1594,                0.81432,                 1.2086,                0.70998,                0.66492,                0.70898,                 0.4087,                 1.4201,                 1.0459,                  1.337,             0.00059772,             0.00059772,             0.00059772
                     10,                 1.1475,                0.78507,                 1.2034,                0.74177,                0.68619,                0.74741,                 0.4175,                 1.4526,                0.96309,                 1.3306,             0.00052439,             0.00052439,             0.00052439
                     11,                 1.1152,                0.75535,                 1.1831,                 0.7541,                0.67812,                 0.7563,                0.42553,                 1.4372,                0.96829,                 1.3182,             0.00045107,             0.00045107,             0.00045107
                     12,                  1.071,                0.72676,                 1.1644,                0.76937,                0.71853,                0.77989,                0.45302,                 1.3418,                0.89856,                 1.2681,             0.00037774,             0.00037774,             0.00037774
                     13,                 1.0539,                0.70024,                 1.1475,                0.74672,                0.70363,                0.76587,                0.44907,                 1.3486,                0.95076,                 1.2714,             0.00030441,             0.00030441,             0.00030441
                     14,                  1.031,                0.67304,                 1.1359,                0.75929,                0.70808,                0.76778,                0.45444,                 1.3149,                 0.8895,                 1.2353,             0.00023109,             0.00023109,             0.00023109
                     15,                0.99369,                0.64855,                 1.1191,                0.78305,                0.72702,                0.80385,                0.48488,                 1.2978,                0.83631,                 1.2341,             0.00015776,             0.00015776,             0.00015776
